====================================================================================================
TOOLS STRING ISSUE (240 agents)
====================================================================================================
Path,Current Tools Value
"engineering/Webpack Config Linter.md","engineering/webpack-config-linter.md"
"engineering/Workbox ServiceWorker Expert.md","engineering/workbox-serviceworker-expert.md"
"engineering/XSS Pattern Finder.md","engineering/xss-pattern-finder.md"
"engineering/Xcode Build Optimizer.md","engineering/xcode-build-optimizer.md"
"engineering/Zustand State Architect.md","engineering/zustand-state-architect.md"
"engineering/i18n Specialist.md","engineering/i18n-specialist.md"
"engineering/macOS System Expert.md","engineering/macos-system-expert.md"
"engineering/shadcn-ui Component Developer.md","engineering/shadcn-ui-component-developer.md"
"engineering/tRPC API Architect.md","engineering/trpc-api-architect.md"
"events/Creative Event Brainstormer.md","events/creative-event-brainstormer.md"
"events/Event Budget Analyst.md","events/event-budget-analyst.md"
"events/Event Marketing Specialist.md","events/event-marketing-specialist.md"
"events/Live Event Producer.md","events/live-event-producer.md"
"events/Technical Director.md","events/technical-director.md"
"events/Tour Manager.md","events/tour-manager.md"
"factory/Agent Factory Orchestrator.md","factory/agent-factory-orchestrator.md"
"factory/Agent Template Generator.md","factory/agent-template-generator.md"
"factory/Agent Validator.md","factory/agent-validator.md"
"factory/Gap Detector.md","factory/gap-detector.md"
"fusion/AI Product Fusion Agent.md","fusion/ai-product-fusion-agent.md"
"fusion/Data Analytics Fusion Agent.md","fusion/data-analytics-fusion-agent.md"
"fusion/Full Stack Fusion Agent.md","fusion/full-stack-fusion-agent.md"
"fusion/Performance Security Fusion Agent.md","fusion/performance-security-fusion-agent.md"
"fusion/Security DevOps Fusion Agent.md","fusion/security-devops-fusion-agent.md"
"fusion-compiler/Fusion Orchestrator.md","fusion-compiler/fusion-orchestrator.md"
"fusion-compiler/Runtime Fuser.md","fusion-compiler/runtime-fuser.md"
"fusion-compiler/Super Agent Generator.md","fusion-compiler/super-agent-generator.md"
"google/Gemini Integration Specialist.md","google/gemini-integration-specialist.md"
"google/Google AI Studio Guide.md","google/google-ai-studio-guide.md"
"google/Google Labs Creative Guide.md","google/google-labs-creative-guide.md"
"google/Google Workflow Automation Specialist.md","google/google-workflow-automation-specialist.md"
"google/Google Workspace Productivity Specialist.md","google/google-workspace-productivity-specialist.md"
"google/Imagen Creative Specialist.md","google/imagen-creative-specialist.md"
"google/Veo Video Generation Specialist.md","google/veo-video-generation-specialist.md"
"growth/Analytics Specialist.md","growth/analytics-specialist.md"
"growth/Growth Hacker.md","growth/growth-hacker.md"
"growth/Growth Lead.md","growth/growth-lead.md"
"improvement/Performance Tracker.md","improvement/performance-tracker.md"
"improvement/Prompt Optimizer.md","improvement/prompt-optimizer.md"
"improvement/Recursive Improvement Orchestrator.md","improvement/recursive-improvement-orchestrator.md"
"lazy-loading/Agent Loader.md","lazy-loading/agent-loader.md"
"lazy-loading/Lazy Orchestrator.md","lazy-loading/lazy-orchestrator.md"
"lazy-loading/Resource Manager.md","lazy-loading/resource-manager.md"
"marketing/Affiliate Marketing Specialist.md","marketing/affiliate-marketing-specialist.md"
"marketing/Email Marketer.md","marketing/email-marketer.md"
"marketing/Email Marketing Automation Specialist.md","marketing/email-marketing-automation-specialist.md"
"marketing/Head of Marketing.md","marketing/head-of-marketing.md"
"marketing/Influencer Marketing Specialist.md","marketing/influencer-marketing-specialist.md"
"marketing/Performance Marketer.md","marketing/performance-marketer.md"
"marketing/SEO Specialist.md","marketing/seo-specialist.md"
"marketing/Short-Form Video Strategist.md","marketing/short-form-video-strategist.md"
"meta-orchestrators/Adaptive Strategy Executor.md","meta-orchestrators/adaptive-strategy-executor.md"
"meta-orchestrators/Autonomous Project Executor.md","meta-orchestrators/autonomous-project-executor.md"
"meta-orchestrators/Parallel Universe Executor.md","meta-orchestrators/parallel-universe-executor.md"
"meta-orchestrators/Recursive Depth Executor.md","meta-orchestrators/recursive-depth-executor.md"
"meta-orchestrators/Swarm Commander.md","meta-orchestrators/swarm-commander.md"
"observability/Chaos Engineering Specialist.md","observability/chaos-engineering-specialist.md"
"observability/Distributed Tracing Specialist.md","observability/distributed-tracing-specialist.md"
"observability/Metrics Monitoring Architect.md","observability/metrics-monitoring-architect.md"
"operations/Chief of Staff.md","operations/chief-of-staff.md"
"operations/Cost Optimization Specialist.md","operations/cost-optimization-specialist.md"
"operations/Finance Ops.md","operations/finance-ops.md"
"operations/HR-People Ops.md","operations/hr-people-ops.md"
"operations/Incident Response Engineer.md","operations/incident-response-engineer.md"
"operations/Legal Advisor.md","operations/legal-advisor.md"
"operations/Operations Manager.md","operations/operations-manager.md"
"orchestrators/API Evolution Orchestrator.md","orchestrators/api-evolution-orchestrator.md"
"orchestrators/Feature Delivery Orchestrator.md","orchestrators/feature-delivery-orchestrator.md"
"orchestrators/Incident Postmortem Conductor.md","orchestrators/incident-postmortem-conductor.md"
"orchestrators/ML Pipeline Orchestrator.md","orchestrators/ml-pipeline-orchestrator.md"
"orchestrators/Performance Optimization Orchestrator.md","orchestrators/performance-optimization-orchestrator.md"
"orchestrators/Production Readiness Orchestrator.md","orchestrators/production-readiness-orchestrator.md"
"orchestrators/Security Hardening Orchestrator.md","orchestrators/security-hardening-orchestrator.md"
"orchestrators/Technical Debt Coordinator.md","orchestrators/technical-debt-coordinator.md"
"orchestrators/Test Coverage Orchestrator.md","orchestrators/test-coverage-orchestrator.md"
"predictive-cache/Cache Orchestrator.md","predictive-cache/cache-orchestrator.md"
"predictive-cache/Result Predictor.md","predictive-cache/result-predictor.md"
"predictive-cache/Session Prewarmer.md","predictive-cache/session-prewarmer.md"
"product/Experiment Analyzer.md","product/experiment-analyzer.md"
"product/Experiment Designer.md","product/experiment-designer.md"
"product/Product Analyst.md","product/product-analyst.md"
"product/Product Manager.md","product/product-manager.md"
"product/Technical Product Owner.md","product/technical-product-owner.md"
"project_management/Agile Project Manager.md","project_management/agile-project-manager.md"
"project_management/Scrum Master.md","project_management/scrum-master.md"
"project_management/Technical Program Manager.md","project_management/technical-program-manager.md"
"quantum-parallel/Entanglement Manager.md","quantum-parallel/entanglement-manager.md"
"quantum-parallel/Quantum Orchestrator.md","quantum-parallel/quantum-orchestrator.md"
"quantum-parallel/Superposition Executor.md","quantum-parallel/superposition-executor.md"
"routing/Agent Matcher.md","routing/agent-matcher.md"
"routing/Domain Classifier.md","routing/domain-classifier.md"
"routing/Predictive Task Router.md","routing/predictive-task-router.md"
"routing/Task Complexity Analyzer.md","routing/task-complexity-analyzer.md"
"self-healing/Auto Recovery Agent.md","self-healing/auto-recovery-agent.md"
"self-healing/Error Detector.md","self-healing/error-detector.md"
"self-healing/Error Diagnostician.md","self-healing/error-diagnostician.md"
"self-healing/Escalation Manager.md","self-healing/escalation-manager.md"
"self-healing/Self Healing Orchestrator.md","self-healing/self-healing-orchestrator.md"
"speculative/Speculative Orchestrator.md","speculative/speculative-orchestrator.md"
"swarm-intelligence/Collective Memory.md","swarm-intelligence/collective-memory.md"
"swarm-intelligence/Emergent Behavior Monitor.md","swarm-intelligence/emergent-behavior-monitor.md"
"swarm-intelligence/Stigmergic Coordinator.md","swarm-intelligence/stigmergic-coordinator.md"
"testing/Assertion Quality Checker.md","testing/assertion-quality-checker.md"
"testing/Automation Tester.md","testing/automation-tester.md"
"testing/Flaky Test Detector.md","testing/flaky-test-detector.md"
"testing/Mock Signature Validator.md","testing/mock-signature-validator.md"
"testing/Performance Tester.md","testing/performance-tester.md"
"testing/QA Engineer.md","testing/qa-engineer.md"
"testing/Quality Assurance Architect.md","testing/quality-assurance-architect.md"
"ticketing/AXS Platform Specialist.md","ticketing/axs-platform-specialist.md"
"ticketing/Presale Specialist.md","ticketing/presale-specialist.md"
"ticketing/Pricing Strategy Specialist.md","ticketing/pricing-strategy-specialist.md"
"ticketing/Secondary Market Specialist.md","ticketing/secondary-market-specialist.md"
"ticketing/Ticketing Operations Specialist.md","ticketing/ticketing-operations-specialist.md"
"ticketing/Ticketmaster Specialist.md","ticketing/ticketmaster-specialist.md"
"ticketing/VIP Packages Specialist.md","ticketing/vip-packages-specialist.md"
"workers/API Contract Validator.md","workers/api-contract-validator.md"
"workers/Bundle Chunk Analyzer.md","workers/bundle-chunk-analyzer.md"
"workers/Cache Invalidation Checker.md","workers/cache-invalidation-checker.md"
"workers/Dependency Conflict Detector.md","workers/dependency-conflict-detector.md"
"workers/E2E Test Gap Finder.md","workers/e2e-test-gap-finder.md"
"workers/Event Loop Blocker Finder.md","workers/event-loop-blocker-finder.md"
"workers/Migration Risk Scorer.md","workers/migration-risk-scorer.md"
"workers/Performance Regression Detector.md","workers/performance-regression-detector.md"
"workers/ai-ml/Embedding Dimension Checker.md","workers/ai-ml/embedding-dimension-checker.md"
"workers/ai-ml/LLM Output Validator.md","workers/ai-ml/llm-output-validator.md"
"workers/ai-ml/Model Config Validator.md","workers/ai-ml/model-config-validator.md"
"workers/ai-ml/Prompt Template Validator.md","workers/ai-ml/prompt-template-validator.md"
"workers/ai-ml/Token Usage Analyzer.md","workers/ai-ml/token-usage-analyzer.md"
"workers/ai-ml/Training Data Validator.md","workers/ai-ml/training-data-validator.md"
"workers/api/GraphQL Schema Checker.md","workers/api/graphql-schema-checker.md"
"workers/api/OpenAPI Spec Validator.md","workers/api/openapi-spec-validator.md"
"workers/api/gRPC Proto Validator.md","workers/api/grpc-proto-validator.md"
"workers/api/tRPC Router Validator.md","workers/api/trpc-router-validator.md"
"workers/data/Data Type Checker.md","workers/data/data-type-checker.md"
"workers/data/Dexie Migration Checker.md","workers/data/dexie-migration-checker.md"
"workers/data/Foreign Key Checker.md","workers/data/foreign-key-checker.md"
"workers/data/Index Usage Analyzer.md","workers/data/index-usage-analyzer.md"
"workers/data/IndexedDB Schema Validator.md","workers/data/indexeddb-schema-validator.md"
"workers/data/Null Safety Analyzer.md","workers/data/null-safety-analyzer.md"
"workers/data/Query Plan Validator.md","workers/data/query-plan-validator.md"
"workers/data/Schema Diff Validator.md","workers/data/schema-diff-validator.md"
"workers/infra/CI Pipeline Validator.md","workers/infra/ci-pipeline-validator.md"
"workers/infra/Dockerfile Best Practices.md","workers/infra/dockerfile-best-practices.md"
"workers/infra/Helm Chart Validator.md","workers/infra/helm-chart-validator.md"
"workers/infra/K8s Manifest Validator.md","workers/infra/k8s-manifest-validator.md"
"workers/infra/Secrets Exposure Scanner.md","workers/infra/secrets-exposure-scanner.md"
"workers/infra/Terraform Plan Analyzer.md","workers/infra/terraform-plan-analyzer.md"
"workers/perf/Bundle Treemap Analyzer.md","workers/perf/bundle-treemap-analyzer.md"
"workers/perf/CPU Profile Analyzer.md","workers/perf/cpu-profile-analyzer.md"
"workers/perf/Lighthouse Score Parser.md","workers/perf/lighthouse-score-parser.md"
"workers/perf/Memory Snapshot Parser.md","workers/perf/memory-snapshot-parser.md"
"workers/security/Auth Flow Validator.md","workers/security/auth-flow-validator.md"
"workers/security/CVE Dependency Scanner.md","workers/security/cve-dependency-scanner.md"
"workers/security/Input Sanitization Checker.md","workers/security/input-sanitization-checker.md"
"workers/security/SAST Rule Checker.md","workers/security/sast-rule-checker.md"
"zero-shot/Cross Domain Transferer.md","zero-shot/cross-domain-transferer.md"
"zero-shot/Knowledge Distiller.md","zero-shot/knowledge-distiller.md"
"zero-shot/Transfer Orchestrator.md","zero-shot/transfer-orchestrator.md"

====================================================================================================
MISSING ROUTING PATTERN (430 agents)
====================================================================================================
DMB Brand DNA Expert.md
DMB Expert.md
DMBAlmanac Scraper.md
DMBAlmanac Site Expert.md
agent-warming/agent-prewarmer.md
agent-warming/project-context-analyzer.md
ai-ml/LLM Cost Optimizer.md
ai-ml/ML Data Engineer.md
ai-ml/ML Monitoring Agent.md
batching/request-similarity-detector.md
batching/result-distributor.md
browser/apple-silicon-browser-optimizer.md
browser/chromium-feature-validator.md
browser/css-anchor-positioning-specialist.md
browser/css-apple-silicon-optimizer.md
browser/css-container-query-architect.md
browser/css-modern-specialist.md
browser/css-scroll-animation-specialist.md
browser/devtools-mcp-specialist.md
browser/native-api-analyzer.md
browser/pwa-advanced-specialist.md
browser/tailwind-v4-specialist.md
browser/web-speech-specialist.md
browser/webgpu-compute-specialist.md
cascading/Cascade Optimizer.md
cascading/Cascade Orchestrator.md
cascading/Tier Cascader.md
circuit-breaker/circuit-breaker-controller.md
circuit-breaker/failure-rate-monitor.md
circuit-breaker/fallback-router.md
compiler/Agent Analyzer.md
compiler/Agent Compiler Orchestrator.md
compiler/Fast Path Generator.md
compression/Adaptive Context Manager.md
compression/Context Decompressor.md
content/Blog Writer.md
content/Content Strategist.md
content/Copywriter.md
content/Social Media Manager.md
content/Technical Documentation Writer.md
data/Data Analyst.md
data/Data Scientist.md
data/Web Scraping Specialist.md
debug/async-debugging-specialist.md
debug/chrome-devtools-debugger.md
debug/console-devtools-specialist.md
debug/css-debugger.md
debug/error-boundary-specialist.md
debug/esm-cjs-compatibility-debugger.md
debug/indexeddb-debugger.md
... and 380 more

====================================================================================================
SUMMARY
====================================================================================================
Tools String Issue: 239
Missing Frontmatter: 0
Naming Convention Issues: 323
Missing Routing Pattern: 430
Custom Fields Found: 10
